ticker,company_name,exchange,market_cap,market_cap_category,sector,industry,sic,sic_description,cik,website,ir_url,data_quality_score,data_source,shares_outstanding,last_price,isin,cusip,country,currency
ANAB,"ANAPTYSBIO, INC",NASDAQ,1646700046.4,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001370053,,,60,sec_fallback,28748255.0,57.28,,,US,USD
INVA,"Innoviva, Inc.",NASDAQ,1642953468.28,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001080014,,,60,sec_fallback,74073646.0,22.18,,,US,USD
NVAX,NOVAVAX INC,NASDAQ,1627730090.55,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001000694,,,60,sec_fallback,162935945.0,9.99,,,US,USD
AGIO,"AGIOS PHARMACEUTICALS, INC.",NASDAQ,1621831320.96,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001439222,,,60,sec_fallback,58592172.0,27.68,,,US,USD
NVCR,NovoCure Ltd,NASDAQ,1619294255.0800002,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0001645113,,,60,sec_fallback,113794396.0,14.23,,,US,USD
IMCR,Immunocore Holdings plc,NASDAQ,1618693840.54,small,,"Biological Products, (No Diagnostic Substances)",2836,"Biological Products, (No Diagnostic Substances)",0001671927,,,60,sec_fallback,50695078.0,31.93,,,US,USD
RAPT,"RAPT Therapeutics, Inc.",NASDAQ,1607369072.355,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001673772,,,60,sec_fallback,27710871.0,58.005,,,US,USD
ORKA,"Oruka Therapeutics, Inc.",NASDAQ,1605734225.44,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0000907654,,,60,sec_fallback,48409232.0,33.17,,,US,USD
PVLA,"PALVELLA THERAPEUTICS, INC.",NASDAQ,1597334325.4999998,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001583648,,,60,sec_fallback,11836490.0,134.95,,,US,USD
NBTX,Nanobiotix S.A.,NASDAQ,1588799508.5,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001760854,,,60,sec_fallback,47426851.0,33.5,,,US,USD
NUVB,Nuvation Bio Inc.,NYSE,1566748788.8100002,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001811063,,,60,sec_fallback,342833433.0,4.57,,,US,USD
NRIX,"Nurix Therapeutics, Inc.",NASDAQ,1565270642.64,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001549595,,,60,sec_fallback,102843012.0,15.22,,,US,USD
UFPT,UFP TECHNOLOGIES INC,NASDAQ,1560631989.0,small,,Surgical & Medical Instruments & Apparatus,3841,Surgical & Medical Instruments & Apparatus,0000914156,,,60,sec_fallback,7713300.0,202.33,,,US,USD
AMLX,"Amylyx Pharmaceuticals, Inc.",NASDAQ,1558570910.3999999,small,,Pharmaceutical Preparations,2834,Pharmaceutical Preparations,0001658551,,,60,sec_fallback,110536944.0,14.1,,,US,USD
